"","Specie","Total_length","Estándar_length","Fork_length","Total_weight","Sex","Taxonomic_family"
"769","Mugil incilis",40.9,31,37,555,"Hembra","Mugilidae"
"770","Mugil incilis",43.4,33.5,39.8,625,"Hembra","Mugilidae"
"771","Mugil incilis",31.3,25.6,29,295,"Hembra","Mugilidae"
"772","Lutjanus synagris",16.1,12.8,15.2,72,"Hembra","Lutjanidae"
"773","Mugil incilis",28.1,22.1,25.6,199,"Macho","Mugilidae"
"774","Mugil incilis",28.6,22.6,25.9,174,"Hembra","Mugilidae"
"775","Mugil incilis",33.3,25.8,30.3,344,"Macho","Mugilidae"
"776","Mugil incilis",35.8,27.5,33,382,"Hembra","Mugilidae"
"777","Mugil incilis",34.3,26.6,31.8,346,"Hembra","Mugilidae"
"778","Caranx crysos",25.6,19.2,21.6,187,"Hembra","Carangidae"
"779","Mugil incilis",31.6,25.2,28.9,202,"Hembra","Mugilidae"
"780","Mugil incilis",32.5,25,29.7,300,"Hembra","Mugilidae"
"781","Mugil incilis",33.9,26,31.2,290,"Hembra","Mugilidae"
"782","Mugil incilis",30.2,24.1,27.6,220,"Hembra","Mugilidae"
"783","Mugil incilis",27.6,22.6,25.7,192,"Hembra","Mugilidae"
"784","Mugil incilis",21.3,17.1,19.5,93,"Hembra","Mugilidae"
"785","Mugil incilis",39.7,30.5,36.4,530,"Hembra","Mugilidae"
"786","Mugil incilis",40.8,30.8,36.8,523,"Hembra","Mugilidae"
"787","Mugil incilis",41.5,31.5,37.5,495,"Hembra","Mugilidae"
"788","Mugil incilis",43,33,39.6,609,"Hembra","Mugilidae"
"789","Mugil incilis",33.1,25.5,30.3,271,"Hembra","Mugilidae"
"790","Mugil incilis",32.8,25.2,30,311,"Macho","Mugilidae"
"791","Mugil incilis",30.5,23.5,27.5,264,"Macho","Mugilidae"
"792","Mugil incilis",41.3,32,37.8,537,"Hembra","Mugilidae"
"793","Mugil incilis",34.5,26.8,32,365,"Macho","Mugilidae"
"794","Mugil incilis",33.7,26,31,343,"Hembra","Mugilidae"
"795","Mugil incilis",32.7,25,29.7,304,"Macho","Mugilidae"
"796","Mugil incilis",35.4,27,32.2,336,"Hembra","Mugilidae"
"797","Mugil incilis",35.8,28.4,32.6,310,"Hembra","Mugilidae"
"798","Mugil incilis",32.9,26.4,29.8,250,"Macho","Mugilidae"
"799","Mugil incilis",33,25.5,30.4,312,"Hembra","Mugilidae"
"800","Mugil incilis",37.4,28.7,34.2,429,"Hembra","Mugilidae"
"801","Mugil incilis",40,32.3,36.5,477,"Hembra","Mugilidae"
"802","Mugil incilis",28.8,23.2,26,165,"Macho","Mugilidae"
"803","Mugil incilis",30.1,24.6,27.5,190,"Hembra","Mugilidae"
"804","Mugil incilis",32.4,25,29.5,298,"Macho","Mugilidae"
"805","Mugil incilis",33.2,25.4,30.4,325,"Hembra","Mugilidae"
"806","Mugil incilis",34.3,26.7,31.4,357,"Hembra","Mugilidae"
"807","Mugil incilis",32,25,29.3,261,"Hembra","Mugilidae"
"808","Mugil incilis",28.5,22.8,26.5,190,"Hembra","Mugilidae"
"809","Mugil incilis",31,24.8,28.7,253,"Hembra","Mugilidae"
"810","Mugil incilis",30.6,24.6,28.2,236,"Hembra","Mugilidae"
"811","Mugil incilis",32.8,26.1,29.9,298,"Hembra","Mugilidae"
"812","Mugil incilis",35.4,28.9,32.7,345,"Hembra","Mugilidae"
"813","Mugil incilis",29.1,23.4,27.2,201,"Hembra","Mugilidae"
"814","Mugil incilis",32,24.5,29,231,"Macho","Mugilidae"
"815","Mugil incilis",32.4,24.5,29.3,250,"Macho","Mugilidae"
"816","Mugil incilis",31.2,24,28.5,240,"Hembra","Mugilidae"
"817","Mugil incilis",35.6,27.3,32.5,312,"Hembra","Mugilidae"
"818","Mugil incilis",32.8,25.8,30,256,"Hembra","Mugilidae"
"819","Mugil incilis",22.2,18.2,20.9,100,"Macho","Mugilidae"
"820","Caranx crysos",28,21.5,23.8,240,"Hembra","Carangidae"
"821","Caranx crysos",30.1,23,25.5,280,"Macho","Carangidae"
"822","Caranx crysos",27.5,21.5,23.9,235,"Macho","Carangidae"
"823","Caranx crysos",27.8,21.1,23.5,222,"Hembra","Carangidae"
"824","Caranx crysos",24.3,18.1,20.3,183,"Hembra","Carangidae"
"825","Caranx crysos",22.9,17,19.8,148,"Macho","Carangidae"
"826","Mugil incilis",32.4,26.1,29.6,275,"Macho","Mugilidae"
"827","Mugil incilis",31.7,25.6,29.1,237,"Macho","Mugilidae"
"828","Mugil incilis",29.8,24.1,27,196,"Macho","Mugilidae"
"829","Eugerres plumieri",28.2,21.7,24,326,"Hembra","Gerreidae"
"830","Mugil incilis",18.4,15,17.1,54,"Hembra","Mugilidae"
"831","Mugil incilis",20.2,16.5,18.6,65,"Hembra","Mugilidae"
"832","Mugil incilis",19,15.1,17.3,54,"Hembra","Mugilidae"
"833","Mugil incilis",29.8,22,27,197,"Macho","Mugilidae"
"834","Mugil incilis",35.4,28,32.1,348,"Hembra","Mugilidae"
"835","Mugil incilis",38,31.1,34.8,389,"Hembra","Mugilidae"
"836","Caranx crysos",27.8,21.4,23.4,230,"Macho","Carangidae"
"837","Caranx crysos",26.5,20.3,22.2,222,"Hembra","Carangidae"
"838","Caranx crysos",26.2,20.2,22.3,210,"Hembra","Carangidae"
"839","Caranx crysos",26.6,20.1,22.5,206,"Hembra","Carangidae"
"840","Caranx crysos",29.3,22.7,25.2,302,"Hembra","Carangidae"
"841","Caranx crysos",29.5,22.3,25,308,"Hembra","Carangidae"
"842","Caranx crysos",30.9,23.5,26.5,328,"Macho","Carangidae"
"843","Caranx crysos",28.8,22.5,25,271,"Macho","Carangidae"
"844","Mugil incilis",33.6,26.8,30.5,330,"Hembra","Mugilidae"
"845","Mugil incilis",32,24.5,28.7,220,"Hembra","Mugilidae"
"846","Mugil incilis",31.2,23.5,28,210,"Hembra","Mugilidae"
"847","Mugil incilis",32.6,26.6,29.5,248,"Hembra","Mugilidae"
"848","Mugil incilis",31.3,23.5,28.3,248,"Macho","Mugilidae"
"849","Mugil incilis",29.6,22.3,26.6,223,"Macho","Mugilidae"
"850","Caranx crysos",27.7,21.2,23.4,228,"Hembra","Carangidae"
"851","Caranx crysos",27.6,21,23.5,226,"Hembra","Carangidae"
"852","Caranx crysos",28.4,22.1,24.5,281,"Hembra","Carangidae"
"853","Caranx crysos",26.7,20.2,22.8,205,"Hembra","Carangidae"
"854","Mugil incilis",19.6,15.8,18,81,"Macho","Mugilidae"
"855","Mugil incilis",18.5,15,17,52,"Hembra","Mugilidae"
"856","Mugil incilis",21.5,17.6,20,101,"Macho","Mugilidae"
"857","Mugil incilis",20,16.2,18.4,65,"Hembra","Mugilidae"
"858","Eugerres plumieri",21.5,15.5,17.3,139,"Hembra","Gerreidae"
"859","Eugerres plumieri",15.8,11.5,13,58,"Macho","Gerreidae"
"860","Mugil incilis",35.2,28.6,32.5,308,"Hembra","Mugilidae"
"861","Mugil incilis",30.7,23.5,27.8,240,"Macho","Mugilidae"
"862","Mugil incilis",34.4,26.5,31.5,310,"Hembra","Mugilidae"
"863","Mugil incilis",29.3,23.3,26.7,199,"Hembra","Mugilidae"
"864","Mugil incilis",33.5,25.4,30.2,308,"Macho","Mugilidae"
"865","Mugil incilis",34.9,26.6,31.4,310,"Macho","Mugilidae"
"866","Mugil incilis",31.2,23.7,28.2,222,"Macho","Mugilidae"
"867","Mugil incilis",30.3,24.3,27.4,190,"Hembra","Mugilidae"
"868","Mugil incilis",37.4,30.3,34.1,366,"Hembra","Mugilidae"
"869","Mugil incilis",21.5,17.4,19.8,84,"Macho","Mugilidae"
"870","Mugil incilis",23.8,19.2,21.9,112,"Hembra","Mugilidae"
"871","Mugil incilis",23.4,18.9,21.4,103,"Hembra","Mugilidae"
"872","Mugil incilis",19.7,15.7,17.9,59,"Hembra","Mugilidae"
"873","Caranx crysos",29.3,22.4,24.6,300,"Macho","Carangidae"
"874","Caranx crysos",28,21.4,24,265,"Macho","Carangidae"
"875","Caranx crysos",27,21.1,23,230,"Hembra","Carangidae"
"876","Caranx crysos",27.5,21.2,23.5,237,"Macho","Carangidae"
"877","Caranx crysos",28.4,21.6,24.2,253,"Hembra","Carangidae"
"878","Mugil incilis",20.3,16.2,18.6,66,"Hembra","Mugilidae"
"879","Mugil incilis",31.2,23.8,28,230,"Macho","Mugilidae"
"880","Mugil incilis",28.7,22,26,204,"Hembra","Mugilidae"
"881","Mugil incilis",30.8,23.5,27.7,210,"Macho","Mugilidae"
"882","Mugil incilis",32.8,25,29.8,225,"Hembra","Mugilidae"
"883","Mugil incilis",34.1,26.4,30.8,322,"Hembra","Mugilidae"
"884","Mugil incilis",30.7,23.5,27.7,199,"Macho","Mugilidae"
"885","Mugil incilis",29.8,24,26.8,150,"Hembra","Mugilidae"
"886","Caranx crysos",24.7,18.6,21,188,"Macho","Carangidae"
"887","Caranx crysos",28.4,21.7,24.5,280,"Hembra","Carangidae"
"888","Caranx crysos",30,23,25.7,318,"Hembra","Carangidae"
"889","Caranx crysos",30.7,23.4,26,315,"Hembra","Carangidae"
"890","Mugil incilis",30,24.3,27.2,214,"Macho","Mugilidae"
"891","Mugil incilis",20.3,16.4,18.7,64,"Hembra","Mugilidae"
"892","Mugil incilis",18.7,15.1,17.3,66,"Hembra","Mugilidae"
"893","Mugil incilis",18.8,14.5,16.6,48,"Hembra","Mugilidae"
"894","Caranx crysos",19.7,15.1,17.2,113,"Hembra","Carangidae"
"895","Caranx crysos",21.6,17.4,18.7,130,"Hembra","Carangidae"
"896","Mugil incilis",33.8,27.2,31,245,"Hembra","Mugilidae"
"897","Mugil incilis",32.5,26.2,29.5,223,"Hembra","Mugilidae"
"898","Mugil incilis",31.6,25.5,28.8,200,"Macho","Mugilidae"
"899","Mugil incilis",32.8,25,29.5,255,"Hembra","Mugilidae"
"900","Mugil incilis",33.5,25.7,30.5,294,"Hembra","Mugilidae"
"901","Mugil incilis",26.5,21.3,24,162,"Hembra","Mugilidae"
"902","Mugil incilis",35.5,28.5,32.5,270,"Hembra","Mugilidae"
"903","Mugil incilis",29.6,22.5,27,193,"Hembra","Mugilidae"
"904","Lutjanus synagris",19,14.8,17.6,93,"Macho","Lutjanidae"
"905","Lutjanus synagris",20.9,16.4,19.3,112,"Macho","Lutjanidae"
"906","Lutjanus synagris",19.6,15.2,18,100,"Macho","Lutjanidae"
"907","Mugil incilis",39.6,32.3,36.4,503,"Hembra","Mugilidae"
"908","Mugil incilis",29.3,23.2,26.5,166,"Macho","Mugilidae"
"909","Mugil incilis",35.9,27.7,32.7,381,"Hembra","Mugilidae"
"910","Mugil incilis",30.7,23.7,27.7,243,"Macho","Mugilidae"
"911","Mugil incilis",31.4,23.7,28.3,221,"Hembra","Mugilidae"
"912","Mugil incilis",30.6,23.3,27.8,193,"Hembra","Mugilidae"
"913","Mugil incilis",32.7,24.5,29.5,259,"Hembra","Mugilidae"
"914","Mugil incilis",28.7,23.1,26.5,200,"Macho","Mugilidae"
"915","Caranx crysos",30.5,23.7,25.8,352,"Macho","Carangidae"
"916","Caranx crysos",30.7,23.2,25.6,348,"Macho","Carangidae"
"917","Caranx crysos",32.5,24.5,27.3,390,"Macho","Carangidae"
"918","Mugil incilis",30.7,23.3,27.6,240,"Macho","Mugilidae"
"919","Mugil incilis",31.5,24.3,28.8,240,"Macho","Mugilidae"
"920","Mugil incilis",29.7,22.5,26.5,203,"Hembra","Mugilidae"
"921","Mugil incilis",32.8,25.4,29.8,260,"Hembra","Mugilidae"
"922","Mugil incilis",34.9,26.5,31.5,301,"Macho","Mugilidae"
"923","Mugil incilis",33,25.3,29.7,282,"Hembra","Mugilidae"
"924","Mugil incilis",30.8,23.4,28,203,"Macho","Mugilidae"
"925","Mugil incilis",31.9,24.4,29.2,212,"Macho","Mugilidae"
"926","Mugil incilis",29.5,22.7,26.8,186,"Macho","Mugilidae"
"927","Lutjanus synagris",25.5,19.9,23.8,236,"Macho","Lutjanidae"
"928","Lutjanus synagris",27.8,22,26,281,"Macho","Lutjanidae"
"929","Lutjanus synagris",27.5,22.2,25.8,295,"Hembra","Lutjanidae"
"930","Mugil incilis",34.8,27.1,31.3,346,"Hembra","Mugilidae"
"931","Mugil incilis",29.8,24.2,27.1,240,"Hembra","Mugilidae"
"932","Mugil incilis",33.2,26.5,30.5,340,"Hembra","Mugilidae"
"933","Mugil incilis",30.8,24.6,28.2,234,"Macho","Mugilidae"
"934","Mugil incilis",45.9,34.4,41.3,537,"Hembra","Mugilidae"
"935","Mugil incilis",42.9,33,39,520,"Hembra","Mugilidae"
"936","Caranx crysos",31.4,24.2,26.7,375,"Macho","Carangidae"
"937","Caranx crysos",30.8,23.3,25.8,316,"Macho","Carangidae"
"938","Caranx crysos",26.3,19.9,22.2,195,"Hembra","Carangidae"
"939","Caranx crysos",31,23.7,26.4,362,"Hembra","Carangidae"
"940","Caranx crysos",29.5,22.7,25.1,295,"Macho","Carangidae"
"941","Caranx crysos",29.7,22.7,25.1,295,"Macho","Carangidae"
"942","Mugil incilis",34.1,25.7,30.7,283,"Hembra","Mugilidae"
"943","Mugil incilis",20.4,16.7,18.9,86,"Hembra","Mugilidae"
"944","Mugil incilis",21.5,17.5,19.7,83,"Hembra","Mugilidae"
"945","Mugil incilis",37.5,29.3,34.1,338,"Hembra","Mugilidae"
"946","Mugil incilis",29.8,23.7,26.9,185,"Macho","Mugilidae"
"947","Mugil incilis",31.1,24.8,28.4,245,"Hembra","Mugilidae"
"948","Mugil incilis",36.5,29.5,33.8,435,"Hembra","Mugilidae"
"949","Mugil incilis",36.8,29.7,34,358,"Hembra","Mugilidae"
"950","Mugil incilis",35.1,28.5,32.4,305,"Hembra","Mugilidae"
"951","Mugil incilis",30.3,24.2,27.6,242,"Macho","Mugilidae"
"952","Lutjanus synagris",28.7,23,26.9,317,"Macho","Lutjanidae"
"953","Mugil incilis",31,23.3,28,218,"Macho","Mugilidae"
"954","Caranx crysos",21.4,16.2,18,122,"Macho","Carangidae"
"955","Caranx crysos",21.7,16.4,18.7,132,"Hembra","Carangidae"
"956","Mugil incilis",32.1,25.3,29.4,281,"Macho","Mugilidae"
"957","Caranx crysos",22.5,17.1,19,134,"Hembra","Carangidae"
"958","Caranx crysos",32.5,24.8,27.1,423,"Macho","Carangidae"
"959","Caranx crysos",32.8,25.6,28.3,410,"Macho","Carangidae"
"960","Caranx crysos",33.4,25.7,28.5,465,"Hembra","Carangidae"
"961","Mugil incilis",22.6,18,20.6,99,"Hembra","Mugilidae"
"962","Mugil incilis",21.7,17.4,19.9,87,"Hembra","Mugilidae"
"963","Mugil incilis",21.6,17.3,19.9,84,"Macho","Mugilidae"
"964","Mugil incilis",21.3,17.1,19.5,76,"Hembra","Mugilidae"
"965","Mugil incilis",23.9,19.3,22,110,"Hembra","Mugilidae"
"966","Mugil incilis",33.4,26.2,30.2,305,"Hembra","Mugilidae"
"967","Mugil incilis",35.7,27.4,32.6,337,"Hembra","Mugilidae"
"968","Mugil incilis",19.7,16,18.1,78,"Hembra","Mugilidae"
"969","Mugil incilis",19.3,15.5,17.6,62,"Hembra","Mugilidae"
"970","Mugil incilis",31.5,25.2,28.6,207,"Hembra","Mugilidae"
"971","Mugil incilis",33.7,26.8,30,230,"Macho","Mugilidae"
"972","Mugil incilis",32.8,25,29.5,237,"Hembra","Mugilidae"
"973","Mugil incilis",34.6,26.6,31.6,315,"Macho","Mugilidae"
"974","Mugil incilis",34,25.4,30.5,311,"Hembra","Mugilidae"
"975","Lutjanus synagris",14.8,11.7,14.1,48,"Hembra","Lutjanidae"
"976","Lutjanus synagris",14.4,11.6,13.7,49,"Macho","Lutjanidae"
"977","Mugil incilis",35.8,28.6,32,357,"Hembra","Mugilidae"
"978","Mugil incilis",33.5,25.7,30.3,266,"Hembra","Mugilidae"
"979","Mugil incilis",35.4,27.5,32.3,307,"Macho","Mugilidae"
"980","Mugil incilis",35,26.6,31.6,302,"Hembra","Mugilidae"
"981","Lutjanus synagris",26.3,20.8,24.7,255,"Hembra","Lutjanidae"
"982","Lutjanus synagris",28.2,22.6,26.6,283,"Hembra","Lutjanidae"
"983","Mugil incilis",28.4,22.3,25.5,153,"Macho","Mugilidae"
"984","Mugil incilis",30.3,24.2,27.5,179,"Hembra","Mugilidae"
"985","Mugil incilis",31.2,23.8,28.2,256,"Macho","Mugilidae"
"986","Mugil incilis",38.8,30.7,35.7,414,"Hembra","Mugilidae"
"987","Mugil incilis",35.2,28.1,31.9,306,"Hembra","Mugilidae"
"988","Mugil incilis",32.9,25.8,30,286,"Hembra","Mugilidae"
"989","Mugil incilis",33,25.7,30,298,"Hembra","Mugilidae"
"990","Mugil incilis",36.5,28.4,33.2,337,"Macho","Mugilidae"
"991","Mugil incilis",34,26.5,31,310,"Macho","Mugilidae"
"992","Mugil incilis",30.6,23.5,28,213,"Hembra","Mugilidae"
"993","Mugil incilis",27.3,21.7,25,148,"Macho","Mugilidae"
"994","Mugil incilis",29.4,22,26.3,204,"Hembra","Mugilidae"
"995","Mugil incilis",31.4,24.4,29,252,"Macho","Mugilidae"
"996","Lutjanus synagris",29.5,23.6,27.8,342,"Hembra","Lutjanidae"
"997","Lutjanus synagris",23,18.3,22.5,177,"Macho","Lutjanidae"
"998","Lutjanus synagris",22.5,17.7,20.8,153,"Macho","Lutjanidae"
"999","Mugil incilis",32.2,25.2,29.4,264,"Hembra","Mugilidae"
"1000","Mugil incilis",31.4,25.3,28.8,213,"Macho","Mugilidae"
"1001","Mugil incilis",33.8,25.7,30.4,255,"Hembra","Mugilidae"
"1002","Mugil incilis",33.3,25.3,30,291,"Hembra","Mugilidae"
"1003","Mugil incilis",35.3,27,32,300,"Hembra","Mugilidae"
"1004","Mugil incilis",31.9,24.5,29,280,"Hembra","Mugilidae"
"1005","Mugil incilis",36.8,29,33.5,331,"Macho","Mugilidae"
"1006","Mugil incilis",31.9,24,28.9,283,"Macho","Mugilidae"
"1007","Mugil incilis",31.7,24,28.7,262,"Macho","Mugilidae"
"1008","Mugil incilis",33.8,25.7,30.6,275,"Macho","Mugilidae"
"1009","Mugil incilis",40,30.8,36.5,456,"Hembra","Mugilidae"
"1010","Lutjanus synagris",22.7,17.9,21.4,163,"Macho","Lutjanidae"
"1011","Lutjanus synagris",23.9,19,22.7,212,"Macho","Lutjanidae"
"1012","Mugil incilis",28.3,22.4,25.8,188,"Hembra","Mugilidae"
"1013","Mugil incilis",32,25.1,29.2,259,"Hembra","Mugilidae"
"1014","Mugil incilis",31,24.7,28,226,"Macho","Mugilidae"
"1015","Mugil incilis",33.3,26.4,30.4,258,"Hembra","Mugilidae"
"1016","Mugil incilis",36.9,28.6,33.7,364,"Hembra","Mugilidae"
"1017","Mugil incilis",29.5,22.5,26.5,210,"Macho","Mugilidae"
"1018","Mugil incilis",33.4,26,30.6,340,"Hembra","Mugilidae"
"1019","Mugil incilis",36.4,28,33,391,"Hembra","Mugilidae"
"1020","Mugil incilis",40,30.8,36.5,507,"Hembra","Mugilidae"
"1021","Mugil incilis",36.8,28,33.5,423,"Hembra","Mugilidae"
"1022","Mugil incilis",29.3,23.3,26.7,192,"Macho","Mugilidae"
"1023","Mugil incilis",28.5,22.8,26,170,"Macho","Mugilidae"
"1024","Caranx crysos",26.5,20.3,22.5,215,"Macho","Carangidae"
"1025","Caranx crysos",27.6,21.5,23.8,235,"Macho","Carangidae"
"1026","Caranx crysos",27.6,21.5,23.5,240,"Macho","Carangidae"
"1027","Mugil incilis",35.2,28.1,32.2,324,"Hembra","Mugilidae"
"1028","Mugil incilis",36.6,29.2,33.5,305,"Hembra","Mugilidae"
"1029","Mugil incilis",29.5,23.7,27,170,"Macho","Mugilidae"
"1030","Caranx crysos",28,21.6,24.8,261,"Hembra","Carangidae"
"1031","Caranx crysos",28.5,22,24.8,270,"Hembra","Carangidae"
"1032","Caranx crysos",30.6,23.5,26.1,326,"Macho","Carangidae"
"1033","Caranx crysos",31.7,24.7,27,342,"Macho","Carangidae"
"1034","Mugil incilis",34.1,27.2,31,280,"Macho","Mugilidae"
"1035","Mugil incilis",31.1,24.7,28.2,250,"Hembra","Mugilidae"
"1036","Mugil incilis",32.9,26.1,30.2,270,"Hembra","Mugilidae"
"1037","Lutjanus synagris",20.7,16.6,19.6,120,"Macho","Lutjanidae"
"1038","Lutjanus synagris",20.5,16.2,19.3,120,"Macho","Lutjanidae"
"1039","Mugil incilis",29.7,23.9,27,225,"Hembra","Mugilidae"
"1040","Mugil incilis",20,16.1,18.3,72,"Hembra","Mugilidae"
"1041","Mugil incilis",30.4,23,27.3,215,"Hembra","Mugilidae"
"1042","Mugil incilis",34.9,28,32,288,"Hembra","Mugilidae"
"1043","Mugil incilis",32.6,25,29.7,291,"Hembra","Mugilidae"
"1044","Mugil incilis",29.5,22.5,26.8,209,"Macho","Mugilidae"
"1045","Mugil incilis",34,26,31.3,284,"Macho","Mugilidae"
"1046","Eugerres plumieri",18.8,13.9,15.3,90,"Macho","Gerreidae"
"1047","Mugil incilis",30,23,27.2,245,"Macho","Mugilidae"
"1048","Mugil incilis",29.8,23,27,210,"Macho","Mugilidae"
"1049","Caranx crysos",25.5,19.8,21.8,184,"Macho","Carangidae"
"1050","Caranx crysos",26.3,20.1,22.6,209,"Macho","Carangidae"
"1051","Caranx crysos",26.4,20.2,22.4,196,"Macho","Carangidae"
"1052","Caranx crysos",26.8,20.6,22.7,200,"Hembra","Carangidae"
"1053","Lutjanus synagris",20.1,16,18.8,110,"Hembra","Lutjanidae"
"1054","Lutjanus synagris",21.7,17,20.5,135,"Macho","Lutjanidae"
"1055","Mugil incilis",40.4,31,37,456,"Hembra","Mugilidae"
"1056","Mugil incilis",30.5,24.4,27.9,214,"Hembra","Mugilidae"
"1057","Mugil incilis",29.6,23.6,26.8,218,"Hembra","Mugilidae"
"1058","Mugil incilis",28.7,22.5,26.4,207,"Macho","Mugilidae"
"1059","Mugil incilis",33.3,26.5,30.5,278,"Hembra","Mugilidae"
"1060","Mugil incilis",36.3,29.2,33.3,312,"Macho","Mugilidae"
"1061","Mugil incilis",38.8,31.2,35.7,411,"Hembra","Mugilidae"
"1062","Mugil incilis",31.5,24,28.5,271,"Hembra","Mugilidae"
"1063","Mugil incilis",33.6,25.8,30.3,329,"Hembra","Mugilidae"
"1064","Eugerres plumieri",21.1,15.6,17.3,143,"Hembra","Gerreidae"
"1065","Eugerres plumieri",20.6,15.6,17,125,"Macho","Gerreidae"
"1066","Caranx crysos",24.6,18.2,21.4,162,"Hembra","Carangidae"
"1067","Caranx crysos",25.8,19.3,21.6,189,"Hembra","Carangidae"
"1068","Lutjanus synagris",19.6,15.6,18.5,106,"Macho","Lutjanidae"
"1069","Mugil incilis",41.3,32,37.6,516,"Hembra","Mugilidae"
"1070","Mugil incilis",29.5,23.8,27,181,"Hembra","Mugilidae"
"1071","Mugil incilis",35,27.6,32,300,"Hembra","Mugilidae"
"1072","Mugil incilis",34,26.3,31,300,"Hembra","Mugilidae"
"1073","Mugil incilis",29,22,26.3,187,"Macho","Mugilidae"
"1074","Caranx crysos",23.1,17.4,19.8,139,"Hembra","Carangidae"
"1075","Mugil incilis",36,28.7,32.7,345,"Hembra","Mugilidae"
"1076","Mugil incilis",35.8,28.4,32.5,290,"Macho","Mugilidae"
"1077","Mugil incilis",34.4,27.3,31.3,284,"Macho","Mugilidae"
"1078","Mugil incilis",34.3,26.5,31.3,310,"Hembra","Mugilidae"
"1079","Mugil incilis",26.5,21.4,24.2,150,"Macho","Mugilidae"
"1080","Mugil incilis",36.9,30.8,33.9,406,"Hembra","Mugilidae"
"1081","Mugil incilis",41,31.4,37.3,517,"Hembra","Mugilidae"
"1082","Mugil incilis",42,31.8,38,574,"Hembra","Mugilidae"
"1083","Lutjanus synagris",21.5,17,20.1,136,"Hembra","Lutjanidae"
"1084","Lutjanus synagris",20.6,16.5,19.5,119,"Macho","Lutjanidae"
"1085","Mugil incilis",32.3,25,29.6,273,"Hembra","Mugilidae"
"1086","Mugil incilis",30.5,23.3,27.5,253,"Macho","Mugilidae"
"1087","Mugil incilis",46.5,35.5,41.8,745,"Hembra","Mugilidae"
"1088","Mugil incilis",34.3,27,31.1,289,"Hembra","Mugilidae"
"1089","Mugil incilis",31.9,25.8,29.3,251,"Hembra","Mugilidae"
"1090","Lutjanus synagris",20.5,16.5,19.3,113,"Hembra","Lutjanidae"
"1091","Lutjanus synagris",19,15,17.7,92,"Hembra","Lutjanidae"
"1092","Mugil incilis",32.1,25.4,29,244,"Macho","Mugilidae"
"1093","Mugil incilis",35.6,28.4,32.6,386,"Hembra","Mugilidae"
"1094","Mugil incilis",33.7,26,30.7,300,"Hembra","Mugilidae"
"1095","Lutjanus synagris",19.2,15.3,18.6,92,"Macho","Lutjanidae"
"1096","Mugil incilis",33.5,26,30.5,295,"Macho","Mugilidae"
"1097","Mugil incilis",33.3,26.3,30.3,275,"Hembra","Mugilidae"
"1098","Mugil incilis",43.4,33.5,40,603,"Hembra","Mugilidae"
"1099","Mugil incilis",40,31,36.6,503,"Hembra","Mugilidae"
"1100","Mugil incilis",29,22.9,26.5,208,"Hembra","Mugilidae"
"1101","Mugil incilis",31.3,25.6,28.4,238,"Macho","Mugilidae"
"1102","Mugil incilis",32.5,25.8,29.6,294,"Macho","Mugilidae"
"1103","Mugil incilis",22.3,18,20.5,107,"Hembra","Mugilidae"
"1104","Mugil incilis",22.1,17.6,20.5,91,"Hembra","Mugilidae"
"1105","Mugil incilis",20,16.4,18.6,74,"Hembra","Mugilidae"
"1106","Lutjanus synagris",23.5,18.4,22.3,191,"Hembra","Lutjanidae"
"1107","Lutjanus synagris",23.7,18.8,22.5,195,"Macho","Lutjanidae"
"1108","Lutjanus synagris",25.1,20.8,23.9,228,"Hembra","Lutjanidae"
"1109","Lutjanus synagris",23.2,18.6,22.1,198,"Macho","Lutjanidae"
"1110","Lutjanus synagris",22.2,17.9,20.8,165,"Macho","Lutjanidae"
"1111","Lutjanus synagris",23.2,18.7,22.3,195,"Macho","Lutjanidae"
"1112","Lutjanus synagris",24.2,19.3,23.7,213,"Hembra","Lutjanidae"
"1113","Lutjanus synagris",20.8,16.3,19.6,121,"Hembra","Lutjanidae"
"1114","Mugil incilis",36.1,27.5,33,407,"Hembra","Mugilidae"
"1115","Mugil incilis",34.5,27,31.7,336,"Hembra","Mugilidae"
"1116","Mugil incilis",29.6,22.5,26.7,233,"Macho","Mugilidae"
"1117","Mugil incilis",42,32.5,38.6,603,"Hembra","Mugilidae"
"1118","Mugil incilis",30.4,24.3,27.8,254,"Hembra","Mugilidae"
"1119","Mugil incilis",34.8,28.4,31.8,390,"Hembra","Mugilidae"
"1120","Mugil incilis",36.5,29.2,33.5,319,"Macho","Mugilidae"
"1121","Mugil incilis",37,30.2,34.3,370,"Hembra","Mugilidae"
"1122","Mugil incilis",34.5,28,31.6,250,"Hembra","Mugilidae"
"1123","Mugil incilis",30.7,24.4,28.1,228,"Macho","Mugilidae"
"1124","Mugil incilis",27.6,22.3,25.4,168,"Macho","Mugilidae"
"1125","Mugil incilis",33.6,26.3,30.4,267,"Hembra","Mugilidae"
"1126","Mugil incilis",32,25.7,29.3,258,"Macho","Mugilidae"
"1127","Mugil incilis",35.6,28.5,32.7,335,"Hembra","Mugilidae"
"1128","Mugil incilis",30.3,24.3,27.8,228,"Hembra","Mugilidae"
"1129","Mugil incilis",33.8,26,30.7,327,"Hembra","Mugilidae"
"1130","Mugil incilis",29.7,23.2,27.2,247,"Macho","Mugilidae"
"1131","Mugil incilis",36.4,29.2,33.2,390,"Hembra","Mugilidae"
"1132","Mugil incilis",31,24,28,242,"Macho","Mugilidae"
"1133","Mugil incilis",33,26.8,30,286,"Hembra","Mugilidae"
